Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
MA 1030,College Algebra I,Mathematical Sciences,3.0,ALEKS Math Placement >= 00,MA 0030,"Fall, Spring"
MA 1031,College Algebra II with Trigonometry,Mathematical Sciences,3.0,MA 1030,MA 0031,"Fall, Spring, Summer"
MA 1032,Precalculus,Mathematical Sciences,4.0,ALEKS Math Placement >= 56,,"Fall, Spring, Summer"
MA 1135,Calculus for Life Sciences,Mathematical Sciences,4.0,MA 1032 or MA 1031 or ALEKS Math Placement >= 70 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2,,"Fall, Spring, Summer"
MA 1160,Calculus with Technology I,Mathematical Sciences,4.0,MA 1032 or MA 1031 or ALEKS Math Placement >= 80 or CEEB Calculus AB >= 3 or CEEB Calculus BC >= 3 or CEEB Calculus AB Subscore >= 3,,"Fall, Spring"
MA 1161,Calculus Plus w/ Technology I,Mathematical Sciences,5.0,MA 1032 or MA 1031 or ALEKS Math Placement >= 70 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2,,"Fall, Spring, Summer"
MA 1600,Introduction to Scientific Simulation,Mathematical Sciences,3.0,MA 1160 or MA 1161,,Spring
MA 1910,Exploring Symmetry Groups,Mathematical Sciences,3.0,,,Fall - Offered alternate years beginning with the 2000-2001 academic year 
MA 1920,Exploring Knots and Surfaces,Mathematical Sciences,3.0,,,Fall - Offered alternate years beginning with the 2001-2002 academic year 
MA 1930,Exploring Number Theory,Mathematical Sciences,3.0,,,Fall - Offered alternate years beginning with the 2006-2007 academic year 
MA 1940,Exploring Non-Euclidean Geometry,Mathematical Sciences,3.0,,,Fall - Offered alternate years beginning with the 2003-2004 academic year 
MA 1990,Elementary Mathematics Topics,Mathematical Sciences,variable to   6.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MA 2020,Prep for Putnam Exam,Mathematical Sciences,1.0;  Repeatable to a Max of 4; Graded Pass/Fail Only,,,Fall
MA 2160,Calculus with Technology II,Mathematical Sciences,4.0,MA 1160 or MA 1161 or MA 1135 or CEEB Calculus AB >= 3 or CEEB Calculus BC >= 3 or CEEB Calculus AB Subscore >= 3,,"Fall, Spring, Summer"
MA 2320,Elementary Linear Algebra,Mathematical Sciences,2.0,MA 1160 or MA 1161 or MA 1135,,"Fall, Spring, Summer"
MA 2321,Elementary Linear Algebra,Mathematical Sciences,2.0,MA 2160,MA 3521,"Fall, Spring"
MA 2330,Introduction to Linear Algebra,Mathematical Sciences,3.0,MA 1160 or MA 1161 or MA 1135,,"Fall, Spring"
MA 2600,Scientific Computing,Mathematical Sciences,3.0,MA 2160 and (MA 2320 or MA 2321 or MA 2330),,Fall
MA 2710,Introduction to Statistical Analysis,Mathematical Sciences,3.0,MA 1160 or MA 1161 or MA 1135,,Spring
MA 2720,Statistical Methods,Mathematical Sciences,4.0,MA 1020 or MA 1030 or ALEKS Math Placement >= 50,,"Fall, Spring, Summer"
MA 2910,Mathematical Experimentation,Mathematical Sciences,3.0,MA 1160 or MA 1161,,Spring
MA 2990,Elementary Topics in Mathematics,Mathematical Sciences,variable to   4.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MA 3160,Multivariable Calculus with Technology,Mathematical Sciences,4.0,MA 2160 or CEEB Calculus BC >= 3,,"Fall, Spring, Summer"
MA 3202,Introduction to Coding Theory,Mathematical Sciences,3.0,MA 2320 or MA 2321 or MA 2330,,Fall
MA 3203,Introduction to Cryptography,Mathematical Sciences,3.0,MA 2320 or MA 2321 or MA 2330,,"Spring, Summer"
MA 3210,Introduction to Combinatorics,Mathematical Sciences,3.0,MA 2320 or MA 2321 or MA 2330,,"Fall, Summer"
MA 3310,Introduction to Abstract Algebra,Mathematical Sciences,3.0,MA 2320 or MA 2321 or MA 2330,,"Fall, Summer"
MA 3450,Introduction to Real Analysis,Mathematical Sciences,3.0,MA 2160,,Spring
MA 3520,Elementary Differential Equations,Mathematical Sciences,2.0,MA 2160 and (MA 2320 or MA 2321 or MA 2330),,"Fall, Spring, Summer"
MA 3521,Elementary Differential Equations,Mathematical Sciences,2.0,MA 2160,MA 2321,"Fall, Spring"
MA 3530,Introduction to Differential Equations,Mathematical Sciences,3.0,MA 2160 and (MA 2320 or MA 2321 or MA 2330),,Fall
MA 3560,Mathematical Modeling with Differential Equations,Mathematical Sciences,3.0,MA 2160 and (MA 2320 or MA 2321 or MA 2330),,Spring
MA 3710,Engineering Statistics,Mathematical Sciences,3.0,MA 2160,,"Fall, Spring, Summer"
MA 3715,Biostatistics,Mathematical Sciences,3.0,MA 1135 or MA 1160 or MA 1161,,Spring
MA 3720,Probability,Mathematical Sciences,3.0,MA 1160 or MA 1161,,"Fall, Summer"
MA 3740,Statistical Programming and Analysis,Mathematical Sciences,3.0,MA 2710 or MA 2720 or MA 3710 or MA 3715,,Fall
MA 3750,Introduction to SAS Programming,Mathematical Sciences,1.0; Graded Pass/Fail Only,MA 2710 or MA 2720 or MA 3710 or MA 3715,,Spring
MA 3810,Introduction to Actuarial Mathematics,Mathematical Sciences,3.0,MA 3160(C),,"Fall, Summer"
MA 3811,Actuarial Exam Workshop,Mathematical Sciences,1.0;  Repeatable to a Max of 4; Graded Pass/Fail Only,MA 3160,,"Fall, Spring"
MA 3924,College Geometry with Technology,Mathematical Sciences,3.0,MA 2160 or MA 2330,,Fall
MA 3990,Math Sciences Teach Experience,Mathematical Sciences,variable to   4.0;  Repeatable to a Max of 4; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
MA 3999,Intermediate Topics in Mathematics,Mathematical Sciences,variable to   4.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MA 4208,Optimization and Graph Algorithms,Mathematical Sciences,3.0,MA 3210,,Spring
MA 4209,Combinatorics and Graph Theory,Mathematical Sciences,3.0,MA 3210,,Fall
MA 4310,Abstract Algebra,Mathematical Sciences,3.0,MA 3310,,Spring
MA 4330,Linear Algebra,Mathematical Sciences,3.0,(MA 2320 or MA 2321 or MA 2330) and MA 3160,,Fall
MA 4410,Complex Variables,Mathematical Sciences,3.0,MA 3160,,Spring
MA 4450,Real Analysis,Mathematical Sciences,3.0,(MA 2320 or MA 2321 or MA 2330) and MA 3160 and MA 3450,,Fall
MA 4515,Introduction to Partial Differential Equations,Mathematical Sciences,3.0,(MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160,,"Fall, Spring, Summer"
MA 4525,Applied Vector and Tensor Mathematics,Mathematical Sciences,3.0,MA 3160 and (MA 2320 or MA 2321 or MA 2330),,Fall
MA 4535,Nonlinear Dynamics and Chaos,Mathematical Sciences,3.0,(MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160,,Fall
MA 4610,Numerical Linear Algebra,Mathematical Sciences,3.0,MA 2320 or MA 2321 or MA 2330,,Spring
MA 4620,Numerical Methods for PDEs,Mathematical Sciences,3.0,(MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160,,Fall
MA 4710,Regression Analysis,Mathematical Sciences,3.0,MA 2710 or MA 2720 or MA 3710 or MA 3715,,Fall
MA 4720,Design and Analysis of Experiments,Mathematical Sciences,3.0,MA 2710 or MA 2720 or MA 3710 or MA 3715,,Spring
MA 4730,Nonparametric Statistics,Mathematical Sciences,3.0,MA 2710 or MA 2720 or MA 3710,,Spring - Offered alternate years beginning with the 2016-2017 academic year 
MA 4760,Mathematical Statistics I,Mathematical Sciences,3.0,MA 3720,,Fall
MA 4770,Mathematical Statistics II,Mathematical Sciences,3.0,MA 4760,,Spring
MA 4780,Time Series Analysis and Forecasting,Mathematical Sciences,3.0,MA 2710 or MA 2720 or MA 3710 or MA 3715,,Spring
MA 4790,Predictive Modeling,Mathematical Sciences,3.0,MA 3740 or MA 4710 or MA 4720 or MA 4780,,Fall
MA 4810,Life Contingencies,Mathematical Sciences,3.0,MA 3720 and MA 3810,,Spring - Offered alternate years beginning with the 2004-2005 academic year 
MA 4820,Loss Distributions and Credibility Theory,Mathematical Sciences,3.0,MA 3720,,Spring - Offered alternate years beginning with the 2005-2006 academic year 
MA 4900,Mathematical Sciences Project,Mathematical Sciences,variable to   4.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MA 4905,Methods of Teaching Mathematics,Mathematical Sciences,2.0,ED 4700(C),,Spring
MA 4908,Theory of Numbers with Technology,Mathematical Sciences,3.0,MA 3210 or MA 3310 or MA 3924,,Spring
MA 4945,History of Mathematics,Mathematical Sciences,3.0,UN 1015 and UN 1025 or Modern Language - 3000 level or higher,,Fall
MA 4990,Topics in Mathematics,Mathematical Sciences,variable to   4.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MEEM 2110,Engrg. Mech.</h3><b>MEEM 2110 - Statics,Mechanical Eng. - Engrg. Mech.,3.0,MA 2160,,"Fall, Spring, Summer"
MEEM 2150,Mechanics of Materials,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2110,,"Fall, Spring, Summer"
MEEM 2201,Introductory Thermodynamics,Mechanical Eng. - Engrg. Mech.,3.0,MA 2160 and CH 1150 and CH 1151,,"Fall, Spring, Summer"
MEEM 2700,Dynamics,Mechanical Eng. - Engrg. Mech.,3.0,PH 2100 and (MEEM 2110 or ENG 2120) and MA 3160(C),,"Fall, Spring, Summer"
MEEM 2901,Mechanical Engineering Practice I,Mechanical Eng. - Engrg. Mech.,2.0,MEEM 2110(C) and ENG 1102 and UN 1015,,"Fall, Spring, Summer"
MEEM 2911,Mechanical Engineering Practice II,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2901 and MEEM 2201(C) and (MA 2320(C) or MA 2321(C) or MA 2330(C)),,"Fall, Spring, Summer"
MEEM 3201,introductory Fluid Mechanics &amp; Heat Transfer,Mechanical Eng. - Engrg. Mech.,4.0,MEEM 2201 and MEEM 2911 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,"Fall, Spring, Summer"
MEEM 3400,Mechanical System Design and Analysis,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2150 and MEEM 2700,,"Fall, Spring, Summer"
MEEM 3600,Introduction to Manufacturing,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2150 and MY 2100,,"Fall, Spring, Summer"
MEEM 3750,Dynamic Systems,Mechanical Eng. - Engrg. Mech.,4.0,MEEM 2700 and MEEM 2911 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,"Fall, Spring, Summer"
MEEM 3901 - Mechanical Engineering Practice III,Mechanical Engineering Practice III - Model Based Design,Mechanical Eng. - Engrg. Mech.,2.0,MEEM 2911(C) and MEEM 2150 and MEEM 2700,,"Fall, Spring, Summer"
MEEM 3911,Mechanical Engineering Practice IV,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3901 and EE 3010 and MEEM 3400(C) and MEEM 3600(C),,"Fall, Spring, Summer"
MEEM 3999,Mechanical Engineering Undergraduate Research Project,Mechanical Eng. - Engrg. Mech.,3.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MEEM 4150,Intermediate Mechanics of Materials,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2150,,Spring
MEEM 4160,Fund of Exp Stress Analysis,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2150,,Fall
MEEM 4170,Failure of Materials in Mechanics,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3501 or MEEM 3400,,Spring
MEEM 4180,Engineering Biomechanics,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2150 and MEEM 2700,,Fall
MEEM 4200,Principles of Energy Conversion,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 4201(C) or MEEM 3230(C) or CM 3230 or ENG 3200 or MY 3100,,Fall
MEEM 4201,Intermediate Thermodynamics,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3201(C),,"Fall, Spring"
MEEM 4202,Intermediate Fluid Mechanics and Heat Transfer,Mechanical Eng. - Engrg. Mech.,4.0,MEEM 3201,,Fall
MEEM 4210,Computational Fluids Engineering,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3230(C) or MEEM 3201(C),,Fall
MEEM 4220,Internal Combustion Engines I,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3210 or MEEM 4201(C),,Spring
MEEM 4230,Compressible Flow/Gas Dynamics,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3210 or MEEM 3201,,Spring
MEEM 4240,Combustion &amp; Air Pollution,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2200 or MEEM 2201,,"Fall, Spring"
MEEM 4250,Heating/Ventilation/Air Cond,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3230(C) or MEEM 3201,,Spring - Offered alternate years beginning with the 2004-2005 academic year 
MEEM 4260,Fuel Cell Technology,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3230 or CM 3110 or MEEM 3201,,Fall
MEEM 4295,Introduction to Propulsion Systems for Hybrid Electric Vehicles,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2200 or ENG 3200 or MEEM 2201,,"Fall, Summer"
MEEM 4296,Experimental Studies in Hybrid Electric Vehicles,Mechanical Eng. - Engrg. Mech.,3.0,,,"Fall, Summer"
MEEM 4404,Mechanism Synthesis/Dynamic Modeling,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3502(C) or MEEM 3400,,"Fall, Spring"
MEEM 4405,Intro to the Finite Element Method,Mechanical Eng. - Engrg. Mech.,3.0,(MEEM 3502 or MEEM 3400) and (MA 2320 or MA 2321 or MA 2330) and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,"Fall, Spring, Summer"
MEEM 4430,Advanced Computer Aided Design and Manufacturing Methods,Mechanical Eng. - Engrg. Mech.,4.0,ENG 1102 and (MEEM 3600 or MEEM 2500),,"Fall, Spring, Summer"
MEEM 4450,Vehicle Dynamics,Mechanical Eng. - Engrg. Mech.,3.0,(MEEM 3502 and MEEM 3000) or (EE 3305 and MEEM 2700),,Spring
MEEM 4610,Advanced Machining Processes,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2500 or MEEM 3600,,Spring
MEEM 4615,Metal Forming Processes,Mechanical Eng. - Engrg. Mech.,4.0,MEEM 2500 and MEEM 2150,,"Fall, Spring"
MEEM 4625,Precision Manuf and Metrology,Mechanical Eng. - Engrg. Mech.,3.0,(MEEM 3700(C) and MEEM 3502(C)) or MEEM 3600(C),,"Fall, Spring"
MEEM 4630,Human Factors,Mechanical Eng. - Engrg. Mech.,3.0,,,Fall
MEEM 4635,Design with Plastics,Mechanical Eng. - Engrg. Mech.,3.0,MY 2100 and MEEM 2150 and (MEEM 3210 and MEEM 3230(C) or CM 3110),,"Fall, Spring"
MEEM 4640,Micromanufacturing Processes,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3502(C) or MEEM 3400(C),,"Fall, Spring"
MEEM 4650,Quality Engineering,Mechanical Eng. - Engrg. Mech.,3.0,MA 3710 or MA 3720 or MA 2710 or MA 2720,,"Fall, Spring"
MEEM 4655,Production Planning,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3501(C) or MEEM 3400(C),,"Fall, Spring"
MEEM 4660,Data Based Modeling &amp; Control,Mechanical Eng. - Engrg. Mech.,3.0,,,Fall
MEEM 4675,Design of Material Handling Systems,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2150,,Spring
MEEM 4685,Env Resp Design &amp; Manuf,Mechanical Eng. - Engrg. Mech.,3.0,,,Spring - Offered alternate years beginning with the 2001-2002 academic year 
MEEM 4700,Dynamic Systems and Controls,Mechanical Eng. - Engrg. Mech.,4.0,MEEM 3700,,"Fall, Spring"
MEEM 4701,Analytical and Experimental Modal Analysis,Mechanical Eng. - Engrg. Mech.,4.0,(MEEM 3000 and MEEM 3700) or MEEM 3750,,Fall
MEEM 4702,Shock and Vibration,Mechanical Eng. - Engrg. Mech.,3.0,(MEEM 3911 and MEEM 3750) or MEEM 4700 or MEEM 4775,,Spring
MEEM 4704,Acoustics and Noise Control,Mechanical Eng. - Engrg. Mech.,3.0,MA 3160 and MEEM 2700,,Spring
MEEM 4705,Introduction to Robotics and Mechatronics,Mechanical Eng. - Engrg. Mech.,4.0,MEEM 4700(C),,"Fall, Spring"
MEEM 4707,Autonomous Systems,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 3750 or MEEM 4700,,Spring
MEEM 4720,Space Mechanics,Mechanical Eng. - Engrg. Mech.,3.0,MEEM 2700,,"Fall, Spring"
MEEM 4775,Analysis &amp; Design of Feedback Control Systems,Mechanical Eng. - Engrg. Mech.,4.0,MEEM 3750,,Fall
MEEM 4810,Introduction to Aerospace Engineering,Mechanical Eng. - Engrg. Mech.,3.0,(MEEM 2150 or ENG 2120) and (MEEM 3210 or ENG 3200),,Fall
MEEM 4901,Senior Capstone Design I,Mechanical Eng. - Engrg. Mech.,2.0,(MEEM 3000(C) and MEEM 3502 and MEEM 3900) or (MEEM 3201(C) and MEEM 3750(C) and MEEM 3911 and MA 3710),,"Fall, Spring"
MEEM 4911,Senior Capstone Design II,Mechanical Eng. - Engrg. Mech.,2.0,(MEEM 4901 and MEEM 3000(C) and MEEM 3502(C) and MEEM 3900) or (MEEM 3201 and MEEM 3750 and MEEM 4901),,"Fall, Spring"
MEEM 4990,Special Topics in Mech Engg,Mechanical Eng. - Engrg. Mech.,variable to   6.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MEEM 4999,Mechanical Engineering Senior Research Thesis,Mechanical Eng. - Engrg. Mech.,3.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
MET 1020,Technology Computer Applications,Mechanical Engrg Technology,3.0,,,"Fall, Summer"
MET 1540,Materials Science,Mechanical Engrg Technology,3.0,CH 1000 or (CH 1150 and CH 1151),,Spring
MET 2120,Statics and Strength of Materials,Mechanical Engrg Technology,4.0,(MA 1160(C) or MA 1161(C)) and (PH 1140 or PH 1110),,"Fall, Summer"
MET 2130,Dynamics,Mechanical Engrg Technology,3.0,MET 2120,,Spring
MET 2153,Machine Tool Fundamentals and Applications,Mechanical Engrg Technology,2.0,,,"Fall, Spring, Summer"
MET 2400,Practical Applications in Parametric Modeling,Mechanical Engrg Technology,3.0,MET 1020 or TE 1020,,"Spring, Summer"
MET 3242,Machine Design I,Mechanical Engrg Technology,3.0,MA 2160 and MET 2130,,"Fall, Summer"
MET 3400,Applied Fluid Mechanics,Mechanical Engrg Technology,3.0,MET 2130,,Fall
MET 3451,Machine Design II,Mechanical Engrg Technology,3.0,MET 3242,,Spring
MET 3500,Manufacturing Processes,Mechanical Engrg Technology,4.0,(MET 1020 or ENG 1102) and (MET 1540 or MY 2100),,Fall
MET 3700,Applied Thermodynamics,Mechanical Engrg Technology,3.0,MET 3250 or MET 3400,,Spring
MET 4210,Applied Quality Techniques,Mechanical Engrg Technology,3.0,MA 2720(C) or MA 3710(C),,Fall
MET 4300,Applied Heat Transfer,Mechanical Engrg Technology,3.0,MET 3600 or (MET 3700 and MET 4360(C)),,Fall
MET 4350,"Principles and Application of Heating, Ventilating, and Air Conditioning Systems",Mechanical Engrg Technology,3.0,MET 4300,,Spring
MET 4355,Industrial Systems Simulation,Mechanical Engrg Technology,3.0,,,Spring
MET 4360,Thermal-Fluids Laboratory,Mechanical Engrg Technology,1.0,MET 3400 and MET 3700 and MET 4300(C),,Fall
MET 4377,Applied Fluid Power,Mechanical Engrg Technology,3.0,MET 3250 or (MET 3400 and MET 4360(C)),,Spring
MET 4390,Internal Combustion Engines,Mechanical Engrg Technology,3.0,MET 3600 or MET 4300 or (MET 3700 and MET 4360(C)),,Fall
MET 4460,Product Design and Development,Mechanical Engrg Technology,3.0,,,"Fall, Spring"
MET 4510,Lean Manufacturing and Production Planning,Mechanical Engrg Technology,3.0,,,Spring
MET 4550,Computer Aided Manufacturing,Mechanical Engrg Technology,3.0,MET 2153 and (MEEM 2500 or MET 3500) and MET 2400,,Spring
MET 4585,Facilities Layout and Safety Design,Mechanical Engrg Technology,3.0,,,Fall
MET 4660,CAE and FEA Methods,Mechanical Engrg Technology,3.0,MET 2400 and MET 3242(C),,Fall
MET 4670,Senior Project,Mechanical Engrg Technology,3.0,MET 4460,,"Fall, Spring, Summer"
MET 4780,Advanced Manufacturing,Mechanical Engrg Technology,3.0,MEEM 2500 or MET 3500,,Spring
MET 4996,Special Topics in Mechanical Engineering Technology,Mechanical Engrg Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
MET 4997,Independent Study in Mechanical Engineering Technology,Mechanical Engrg Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
MET 4998,Undergraduate Research in Mechanical Engineering Technology,Mechanical Engrg Technology,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
